            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
      0.00013335          565470         -807166    -4.30805e-13         515.645         233.107     1.95723e-07     1.61387e+06     1.13197e+06         -482413        0.109947          3.5188
       0.0002667         -170051          242761     1.78818e-13         314.303         127.754     -8.3533e-08         -485779         -339475          151087        0.137214         2.91253
      0.00040005        -18016.6         20026.1     3.44768e-14         245.761         96.0247    -1.01489e-07        -40243.7        -35541.5         18447.2        0.106664         2.81785
       0.0005334        -826.349        -5501.82     1.70919e-14         207.379         79.6257    -1.94699e-08         10844.5        -1237.84          2791.1        0.141795          2.7429
      0.00066675         1120.69        -8693.69     1.47546e-14         181.987         69.0978     8.57068e-08         17249.1         2605.32         830.889        0.109939         2.66627
       0.0008001         1566.52        -9801.14     1.38927e-14         163.537         61.6311     7.17281e-08           19479         3460.11         98.2784        0.234603         2.58242
      0.00093345         1801.08          -10551     1.31769e-14         149.319          55.987     4.67903e-08         20989.9         3900.79        -406.288        0.298575         2.49512
       0.0010668         1979.43        -11197.3     1.23207e-14         137.912         51.5121     3.36795e-08         22291.6         4234.69        -835.558        0.224951         2.41058
      0.00120015         2134.35        -11806.3     1.13405e-14         128.496         47.8425     2.93735e-08         23516.8         4525.69         -1232.6        0.114024         2.33256
       0.0013335         2264.05        -12350.4      1.0301e-14         120.548         44.7544     1.90027e-08         24611.3          4769.2        -1576.78       0.0831762         2.26283
      0.00146685          2369.8        -12822.4     9.26637e-15         113.719         42.1035     1.36912e-08         25560.6         4967.04        -1863.89      0.00198672         2.20308
       0.0016002         2455.39        -13228.5     8.33844e-15         107.764          39.792     9.33029e-09         26377.4          5126.3         -2099.1        0.038648         2.15214
      0.00173355         2528.68        -13575.5     7.61172e-15         102.511         37.7522     8.70407e-09         27075.4         5262.38        -2289.62        0.144281         2.10897
       0.0018669         2585.54        -13856.3     7.08039e-15         97.8329         35.9351     9.90566e-09         27640.7         5366.74        -2430.32       0.0344586         2.07316
      0.00200025         2623.04        -14070.1     6.73367e-15          93.636         34.3034     2.28403e-08         28071.7         5433.35        -2521.23        0.151046         2.04403
       0.0021336         2646.28        -14234.4     6.55275e-15         89.8497         32.8277     4.60148e-08         28403.2         5472.26        -2576.64        0.184605          2.0209
      0.00226695         2661.34        -14364.4     6.44204e-15         86.4209         31.4828     7.34622e-08         28665.8         5495.54        -2609.35        0.146044         2.00273
       0.0024003         2670.49        -14468.4     6.33885e-15         83.3123         30.2479     1.10966e-07         28876.4         5507.61         -2626.8        0.121537         1.98873
      0.00253365          2674.3        -14565.7     6.22836e-15         80.5025         29.1073     1.44578e-07         29073.2          5509.6        -2642.33       0.0418753         1.97891
        0.002667         2674.31          -14663     6.10523e-15         77.9845         28.0497       1.827e-07         29269.8          5504.6        -2660.68        0.115355         1.97341
      0.00280035         2674.31          -14768     5.95777e-15         75.7679          27.067     2.22585e-07         29481.9         5500.15        -2687.84       0.0753122         1.97163
       0.0029337         2680.04        -14892.6     5.77783e-15         73.8816         26.1533     2.53007e-07           29733         5507.83        -2733.04       0.0610954         1.97102
      0.00306705         2695.43        -15043.1     5.57033e-15          72.369          25.308     2.81934e-07         30035.6          5535.6        -2800.98        0.139351         1.96925
       0.0032004         2721.62        -15217.1     5.35417e-15         71.2726         24.5346     3.03257e-07         30385.1         5585.77        -2889.59        0.175632         1.96553
      0.00333375          2754.6        -15399.3     5.11827e-15         70.6193         23.8404     3.17204e-07         30750.8         5650.44        -2986.64        0.118573         1.96081
       0.0034671         2784.22        -15564.1     4.83481e-15          70.413         23.2359     3.23096e-07         31081.7         5709.27        -3071.49       0.0410157         1.95653
      0.00360045         2801.26        -15706.4     4.56171e-15         70.6296         22.7303     3.20983e-07         31367.2         5743.78        -3137.34       0.0735819         1.95332
       0.0037338          2808.8        -15829.9     4.30424e-15         71.2197          22.329     3.06454e-07         31615.1         5760.06        -3187.21       0.0752742         1.95112
      0.00386715         2812.91        -15942.5     4.08162e-15          72.111         22.0304     2.94936e-07         31840.9         5770.04        -3227.87      0.00184355         1.94966
       0.0040005         2815.54        -16045.6     3.90131e-15         73.2191         21.8248     2.62846e-07         32047.6         5777.52        -3260.84       0.0883222         1.94871
      0.00413385         2815.75        -16136.8      3.7656e-15         74.4641         21.6987     2.35757e-07         32230.3         5780.44        -3284.68       0.0833924         1.94801
       0.0042672         2813.11        -16216.5     3.67333e-15         75.7816         21.6379     1.93328e-07         32389.8         5777.78        -3300.01       0.0378069         1.94733
      0.00440055         2808.73        -16287.9     3.61515e-15         77.1253         21.6298     1.51405e-07         32532.5         5771.72        -3309.56        0.028389         1.94642
       0.0045339         2804.15        -16355.9     3.57447e-15         78.4647         21.6634     9.63385e-08         32668.4         5765.23         -3317.8       0.0988815         1.94479
      0.00466725         2800.95        -16426.6     3.52552e-15           79.78         21.7292     4.15129e-08         32809.8         5761.47        -3329.45       0.0569328         1.94192
       0.0048006         2799.56        -16503.1     3.46028e-15         81.0582         21.8193    -1.50639e-08         32962.6         5761.25        -3346.83       0.0513812         1.93747
