            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
      0.00013335     1.19028e+06     1.11681e+06    -4.05202e-12         321.733        -438.131     3.21803e-06    -2.23274e+06      2.3812e+06         -844490        0.258169         3.24214
       0.0002667         -348306         -344506     1.10249e-12         214.632        -220.329     4.65756e-06          689451         -696182          237291        0.108077         3.09363
      0.00040005        -20508.3        -30571.3     8.16247e-14         169.663        -158.898    -4.47899e-08         61460.6        -40677.4          7482.7        0.175322         3.42159
       0.0005334           13929         2678.85    -4.46496e-14         143.939        -129.277     1.66746e-07        -5099.33         28146.1          -17625        0.180951         3.57387
      0.00066675         17983.7         6691.21    -6.67395e-14         126.906        -110.978    -2.67774e-08        -13160.3         36221.2        -20832.2        0.175964         3.64488
       0.0008001         19722.4         8402.95    -7.87896e-14         114.207        -98.2339    -1.42516e-08        -16609.4         39673.3        -22527.1       0.0272509         3.65726
      0.00093345         20861.5         9505.41    -8.77906e-14         104.172        -88.7263     4.40602e-08        -18833.3         41931.3        -23707.1         0.12839         3.61754
       0.0010668           21606         10224.4    -9.58138e-14         96.0891        -81.3346    -2.23587e-08        -20286.1         43404.1          -24475       0.0734932         3.52503
      0.00120015         22004.6           10624     -1.0259e-13         89.4208        -75.3844    -7.32469e-08        -21097.2         44188.1        -24877.5       0.0132883         3.42066
       0.0013335         22133.7         10785.4    -1.08018e-13         83.7859         -70.452    -2.68659e-08        -21429.8         44434.9        -24986.1       0.0143981         3.32459
      0.00146685         22057.2         10774.2    -1.12308e-13         78.9291        -66.2575    -7.10685e-08        -21415.8         44272.3        -24859.5       0.0862752           3.246
       0.0016002         21837.1           10649    -1.15693e-13         74.6945        -62.6269    -2.80416e-07        -21172.6         43823.6        -24571.9      0.00262563         3.17991
      0.00173355         21582.4         10511.8    -1.18561e-13         70.9849        -59.4286    -5.32403e-07        -20904.6         43306.7        -24242.7       0.0101821         3.12353
       0.0018669         21397.1         10454.4    -1.21194e-13          67.746          -56.56    -8.62398e-07        -20795.5         42929.7        -23991.5       0.0290158         3.07858
      0.00200025         21302.8         10489.7    -1.23586e-13         64.9488        -53.9493    -1.22256e-06        -20871.4         42735.4        -23848.8       0.0193518         3.04498
       0.0021336         21305.3         10624.2    -1.25779e-13         62.5637        -51.5538    -1.66768e-06        -21145.1         42735.6        -23825.2       0.0327494         3.02148
      0.00226695         21355.4           10814     -1.2773e-13         60.5499        -49.3528    -2.18363e-06        -21529.2         42831.8        -23857.6       0.0549486         3.00558
       0.0024003         21401.1         11015.3    -1.29473e-13         58.8611        -47.3371    -2.71614e-06        -21935.8         42919.8        -23879.6       0.0278519         2.99361
      0.00253365         21388.5         11177.4    -1.30976e-13         57.4516        -45.5004     -3.2562e-06        -22263.7         42891.9        -23826.6       0.0166086         2.98225
        0.002667         21339.8           11323    -1.32428e-13         56.2803        -43.8356    -3.79209e-06          -22558         42792.1        -23726.9       0.0544705         2.96987
      0.00280035         21264.4           11458    -1.33844e-13         55.3109        -42.3334    -4.31643e-06        -22831.1         42639.3        -23595.5       0.0681318         2.95548
       0.0029337         21190.5         11608.7    -1.35269e-13         54.5127        -40.9827    -4.81317e-06        -23135.2           42490        -23465.7      0.00814049         2.93912
      0.00306705         21134.8         11788.9    -1.36677e-13           53.86        -39.7724    -5.33835e-06        -23498.1         42377.2        -23354.4       0.0586979          2.9206
       0.0032004         21105.1         12005.3     -1.3808e-13         53.3308         -38.691    -5.79476e-06          -23933         42316.7        -23268.2       0.0367396         2.90037
      0.00333375         21105.5         12260.4    -1.39479e-13         52.9069        -37.7274    -6.18602e-06        -24445.1         42316.8        -23209.9       0.0290413         2.87899
       0.0034671         21130.3         12545.9    -1.40865e-13         52.5737        -36.8723    -6.54153e-06        -25017.8         42365.6        -23170.1       0.0266851         2.85683
      0.00360045         21179.1         12860.2     -1.4224e-13         52.3188        -36.1168    -6.85696e-06          -25648         42462.8          -23148       0.0525636         2.83415
       0.0037338         21245.5         13195.2    -1.43577e-13         52.1314         -35.452     -7.1343e-06        -26319.3         42595.1        -23135.2       0.0294188         2.81117
      0.00386715         21330.9         13551.8    -1.44888e-13         52.0018        -34.8692    -7.37851e-06        -27033.7         42765.7        -23135.3       0.0320772         2.78805
       0.0040005         21432.2         13925.3    -1.46163e-13         51.9225        -34.3603    -7.57839e-06        -27781.5         42968.1        -23146.1       0.0237887         2.76492
      0.00413385         21547.2         14311.7      -1.474e-13         51.8884        -33.9188    -7.76177e-06        -28555.3           43198        -23169.2       0.0017515         2.74195
       0.0042672           21669         14701.7    -1.48589e-13         51.8967        -33.5395    -7.88626e-06        -29336.1         43441.7        -23201.2       0.0449462         2.71924
      0.00440055         21787.9         15080.4    -1.49713e-13         51.9464        -33.2189    -7.99819e-06        -30094.3         43679.7        -23237.1       0.0943756         2.69688
       0.0045339         21890.2         15429.8    -1.50766e-13         52.0372        -32.9544    -8.07687e-06        -30793.6         43884.5        -23270.4       0.0465098         2.67493
      0.00466725         21960.4         15730.1    -1.51719e-13         52.1683        -32.7438    -8.14543e-06        -31394.8         44025.2        -23291.7       0.0762077         2.65344
       0.0048006           21993         15972.4    -1.52574e-13         52.3378        -32.5843    -8.19142e-06        -31879.7         44090.8        -23298.6       0.0242019         2.63245
      0.00493395         21986.7         16156.8    -1.53323e-13         52.5415        -32.4722    -8.21433e-06        -32248.9         44078.7          -23289       0.0467762         2.61195
       0.0050673         21947.3         16295.9    -1.53993e-13         52.7734         -32.403    -8.21718e-06        -32527.5         44000.4        -23268.5       0.0458216         2.59195
      0.00520065         21878.3         16394.9    -1.54584e-13         53.0271        -32.3716    -8.19936e-06        -32725.6           43863        -23237.3       0.0399934          2.5724
        0.005334         21788.4         16460.3    -1.55112e-13         53.2971         -32.373    -8.15768e-06        -32856.6         43683.8        -23199.8      0.00969664         2.55331
      0.00546735         21679.4         16492.2    -1.55565e-13         53.5787        -32.4029    -8.09333e-06        -32920.5         43466.3        -23153.6        0.042369         2.53466
       0.0056007         21554.5         16495.4    -1.55959e-13          53.868        -32.4572    -8.01914e-06        -32926.7         43217.2        -23102.6       0.0367988         2.51642
      0.00573405         21411.9         16468.9    -1.56283e-13         54.1613        -32.5326    -7.91994e-06        -32873.7         42932.6        -23043.4      0.00174098         2.49854
       0.0058674         21258.7         16422.3    -1.56561e-13         54.4558         -32.626    -7.82695e-06        -32780.3         42626.8        -22981.4      0.00329784         2.48102
      0.00600075         21098.9         16361.1    -1.56794e-13          54.749        -32.7347    -7.70657e-06        -32657.8         42307.8        -22915.9      0.00686499         2.46906
       0.0061341         20937.8         16292.2    -1.56991e-13         55.0393        -32.8563     -7.5761e-06        -32519.8         41986.2        -22850.2       0.0287565         2.47324
      0.00626745         20779.3         16221.3    -1.57161e-13         55.3252        -32.9887    -7.43358e-06        -32377.7         41669.7        -22785.2       0.0747003         2.47708
       0.0064008         20624.9         16151.2    -1.57299e-13         55.6056        -33.1301    -7.27004e-06        -32237.2         41361.5        -22720.7       0.0162118         2.48058
      0.00653415         20476.3         16084.9    -1.57404e-13         55.8794        -33.2787    -7.09357e-06        -32104.3         41064.9        -22657.4       0.0377013         2.48375
