            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
      0.00013335          525601        -31769.3     5.04281e-15         494.723         0.35411    -2.66452e-06         63537.1     1.05219e+06          -18108       0.0214668         3.16335
       0.0002667         -161835         20313.4    -1.64478e-15         322.312      -0.0466908     2.50578e-07        -40626.8         -323025         13938.8        0.137014         2.35014
      0.00040005          -17852         839.611    -9.40263e-17         257.539        -0.16084    -7.75038e-07        -1678.92        -35188.8         378.025       0.0620968          2.0541
       0.0005334        -1934.52         714.832     1.00735e-16         218.875       -0.217841    -3.34929e-08        -1429.18        -3431.31           649.4        0.074455         1.98163
      0.00066675        -230.865          1008.9     1.28291e-16         192.745       -0.250783    -1.39973e-07        -2017.36        -76.2204         890.001       0.0761601         1.93822
       0.0008001        -1.88836         1096.45      1.3358e-16         173.554        -0.27303    -7.43421e-08        -2192.32         343.332         958.693       0.0676462         1.90041
      0.00093345         33.2143         1153.13     1.35551e-16          158.67       -0.289571    -9.23219e-08        -2305.69         383.757         999.891       0.0634272         1.86697
       0.0010668         41.0253         1196.08     1.37301e-16         146.683       -0.302972    -1.49176e-07        -2391.56         375.419         1029.85        0.067009         1.83675
      0.00120015         43.3634         1231.36     1.38652e-16         136.759       -0.314574     -1.1829e-07         -2462.1         360.242         1053.85       0.0906578         1.80902
       0.0013335         44.2426         1265.75     1.39767e-16         128.366       -0.325057     -1.5815e-07        -2530.85         345.218         1076.91       0.0878106         1.78318
      0.00146685         45.0152         1298.71     1.40692e-16         121.148       -0.334915    -1.74869e-07        -2596.75         332.324         1098.73       0.0555986         1.75808
       0.0016002          45.857         1331.19     1.41588e-16         114.855       -0.344342    -1.55996e-07         -2661.7         321.425         1119.91        0.142244         1.73445
      0.00173355         46.6631         1364.14     1.42572e-16         109.306       -0.353387    -1.59733e-07        -2727.57         311.936         1141.04       0.0819839         1.71454
       0.0018669         47.5761         1397.69     1.43667e-16         104.367       -0.361836    -1.08348e-07        -2794.65         303.887         1162.32       0.0997341          1.6951
      0.00200025         48.6452         1432.57     1.44505e-16         99.9362       -0.369517    -2.88142e-08        -2864.41         297.159         1184.41         0.13746         1.67552
       0.0021336         49.8345         1469.47     1.45147e-16         95.9363       -0.376101      8.5548e-08        -2938.19         291.541         1207.95        0.107632         1.65592
      0.00226695         51.4566         1508.06     1.45669e-16         92.3089       -0.381473     2.40113e-07        -3015.35         287.526         1232.76       0.0506656         1.63566
       0.0024003         53.4294         1546.91     1.46298e-16         89.0118       -0.385491     4.41388e-07        -3093.05         284.878         1257.86       0.0766091         1.61537
      0.00253365          55.628         1586.05      1.4694e-16         86.0191       -0.388001     6.84887e-07        -3171.32         283.284         1283.29       0.0673473         1.59452
        0.002667         57.8616         1624.89     1.47222e-16         83.3238       -0.388608     9.74147e-07        -3248.99         282.366         1308.52       0.0269361         1.57348
      0.00280035         60.1347         1662.97     1.47099e-16         80.9452       -0.386628     1.30195e-06        -3325.15         282.153         1333.12       0.0144741         1.55278
       0.0029337         62.1292          1699.9     1.46957e-16         78.9362        -0.38067      1.6603e-06        -3399.02         282.126         1356.74      0.00657539         1.53255
      0.00306705         63.8585         1735.04     1.47096e-16         77.3831       -0.369166     2.03738e-06        -3469.32         282.481         1378.88       0.0455254         1.51317
       0.0032004         65.2911         1768.19     1.47558e-16         76.3809       -0.351378     2.43718e-06        -3535.66         283.345         1399.32       0.0737532         1.49517
      0.00333375         66.6201         1799.29     1.48187e-16         75.9838       -0.329404     2.85965e-06        -3597.91         285.207         1418.01       0.0526582         1.47862
       0.0034671         67.8862          1828.5     1.48772e-16         76.1703       -0.308852     3.29223e-06        -3656.38         288.112         1435.05        0.058323         1.46402
      0.00360045         69.1361         1856.16     1.49273e-16         76.8543       -0.296939     3.73816e-06        -3711.74         291.979         1450.73       0.0318934         1.45139
       0.0037338         70.3708         1882.44     1.49789e-16          77.923       -0.299125     4.19322e-06        -3764.29         296.588         1465.23       0.0558802         1.44078
      0.00386715         71.6178         1907.49     1.50434e-16         79.2684       -0.317174     4.65242e-06        -3814.35         301.773         1478.73       0.0851348         1.43199
       0.0040005         72.8752         1931.35     1.51175e-16         80.8025       -0.349404      5.1092e-06        -3862.01         307.358         1491.36       0.0720607         1.42466
      0.00413385         74.1706         1954.14     1.51984e-16         82.4579       -0.392128     5.56246e-06        -3907.52         313.259         1503.26       0.0594496         1.41851
       0.0042672         75.4499          1976.1     1.52812e-16         84.1842       -0.440999     6.00927e-06        -3951.35         319.272         1514.63       0.0520112         1.41307
      0.00440055         76.7589         1997.34     1.53589e-16         85.9435       -0.492029      6.4461e-06        -3993.72         325.406         1525.56       0.0789473         1.40802
       0.0045339         78.0915          2018.1     1.54212e-16         87.7062       -0.542084      6.8661e-06        -4035.15         331.599         1536.22      0.00767223         1.40309
      0.00466725         79.4368         2038.62     1.54649e-16         89.4498       -0.589073      7.2638e-06        -4076.11         337.777         1546.76      0.00479747         1.40741
       0.0048006         80.7898         2059.17     1.55003e-16         91.1562       -0.632038     7.63246e-06        -4117.12         343.896         1557.36        0.061688         1.42074
      0.00493395         82.1559          2079.8     1.55377e-16          92.811       -0.671017     7.96325e-06        -4158.32         349.937         1568.04       0.0458849         1.43291
       0.0050673         83.5416         2100.55     1.55811e-16         94.4024       -0.706713     8.24863e-06        -4199.75         355.892         1578.82       0.0186192         1.44402
      0.00520065         84.9101         2121.62       1.563e-16         95.9216       -0.740048     8.48013e-06        -4241.81         361.668         1589.83       0.0166525         1.45418
        0.005334         86.2895         2143.01     1.56803e-16         97.3628       -0.771859      8.6507e-06        -4284.55         367.309         1601.09       0.0445271         1.46349
      0.00546735         87.6909         2164.76     1.57289e-16         98.7232       -0.802718     8.75354e-06        -4327.98         372.834         1612.61        0.058035         1.47205
       0.0056007         89.1329         2186.88     1.57777e-16         100.002       -0.832928     8.78633e-06        -4372.16         378.276          1624.4        0.065338         1.47993
      0.00573405         90.5987         2209.37     1.58286e-16         101.202       -0.862608     8.74565e-06        -4417.09         383.606         1636.46       0.0632027         1.48719
       0.0058674         92.0519          2232.3      1.5884e-16         102.325       -0.891777      8.6332e-06        -4462.89         388.758         1648.84       0.0526552         1.49391
      0.00600075          93.509         2255.52     1.59429e-16         103.376       -0.920426     8.44559e-06        -4509.27         393.774         1661.44      0.00343104         1.50014
       0.0061341         94.9382         2278.94     1.60032e-16         104.358       -0.948537     8.18508e-06        -4556.06         398.598         1674.17       0.0175777         1.50591
      0.00626745          96.331         2302.48     1.60657e-16         105.278       -0.976102     7.85294e-06        -4603.08         403.224         1686.98       0.0469881         1.51127
       0.0064008         97.6843            2326     1.61303e-16         106.139        -1.00314      7.4498e-06        -4650.07         407.651         1699.74       0.0299389         1.51626
      0.00653415         98.9822          2349.4     1.61979e-16         106.945        -1.02968     6.98035e-06        -4696.82         411.861          1712.4       0.0608647         1.52094
       0.0066675         100.237          2372.6     1.62696e-16         107.702        -1.05573     6.45001e-06        -4743.15         415.881         1724.87        0.033028         1.52531
      0.00680085         101.448         2395.47     1.63448e-16         108.411        -1.08133      5.8632e-06        -4788.86         419.723         1737.07      0.00497837         1.52942
       0.0069342          102.59         2418.01     1.64227e-16         109.078        -1.10651      5.2248e-06        -4833.88         423.341         1748.99      0.00441065         1.53327
      0.00706755          103.66         2440.13     1.65037e-16         109.704        -1.13137     4.54027e-06        -4878.07         426.732         1760.59       0.0420025         1.53689
       0.0072009         104.679          2461.8     1.65867e-16         110.293        -1.15602     3.81073e-06        -4921.36         429.951         1771.81       0.0571747         1.54029
      0.00733425         105.648         2482.92     1.66709e-16         110.847        -1.18054     3.04289e-06        -4963.55         432.996         1782.61       0.0449612         1.54349
       0.0074676         106.559         2503.55     1.67569e-16         111.369        -1.20497     2.23935e-06        -5004.75          435.86         1793.03       0.0596579          1.5465
      0.00760095         107.428         2523.61     1.68442e-16          111.86        -1.22933     1.40581e-06        -5044.84          438.58         1803.01       0.0773721         1.54933
       0.0077343         108.255         2543.17     1.69328e-16         112.323        -1.25363     5.46119e-07        -5083.89          441.16          1812.6       0.0839023           1.552
      0.00786765         109.031         2562.17     1.70211e-16          112.76        -1.27789    -3.36454e-07        -5121.84         443.586         1821.78        0.086456         1.55452
        0.008001         109.776         2580.63     1.71092e-16         113.173         -1.3021    -1.23895e-06        -5158.72         445.904         1830.57       0.0878958          1.5569
      0.00813435         110.483         2598.54     1.71973e-16         113.563        -1.32628    -2.15747e-06        -5194.49         448.098         1838.96       0.0883296         1.55915
       0.0082677         111.156         2615.93     1.72856e-16         113.933        -1.35044    -3.08954e-06        -5229.22         450.182         1846.98       0.0878211         1.56127
      0.00840105         111.782         2632.76     1.73741e-16         114.282        -1.37458    -4.03253e-06        -5262.82         452.133         1854.62       0.0864028         1.56327
       0.0085344         112.378         2649.07     1.74637e-16         114.614        -1.39872    -4.98428e-06        -5295.41         453.989         1861.89       0.0840773         1.56515
      0.00866775         112.924         2664.85     1.75552e-16         114.929        -1.42286     -5.9455e-06         -5326.9          455.71         1868.79       0.0808157         1.56693
       0.0088011         113.443         2680.06     1.76495e-16         115.228        -1.44703    -6.91523e-06        -5357.29         457.347         1875.31       0.0765485         1.56861
      0.00893445         113.926         2694.75     1.77454e-16         115.513        -1.47123    -7.88949e-06        -5386.61         458.881         1881.47       0.0711473         1.57019
       0.0090678         114.363         2708.87     1.78412e-16         115.783        -1.49547    -8.86373e-06        -5414.81         460.298         1887.23       0.0643808          1.5717
      0.00920115         114.766         2722.46     1.79353e-16         116.042        -1.51975    -9.83399e-06        -5441.92         461.617         1892.63       0.0558155         1.57312
       0.0093345         115.125         2735.45     1.80257e-16         116.288        -1.54407    -1.07978e-05        -5467.85         462.831         1897.62       0.0444823         1.57447
      0.00946785         115.452         2747.88     1.81108e-16         116.523        -1.56844    -1.17515e-05        -5492.67         463.955         1902.23       0.0272156         1.57577
