            Time             Fpx             Fpy             Fpz             Fvx             Fvy             Fvz             Mtx             Mty             Mtz           Y+min           Y+max
      0.00013335     2.24053e+06         -275982    -7.65816e-13         92.2489          141.59     4.71239e-06          551679     4.48125e+06    -1.10652e+06        0.080556         3.38763
       0.0002667         -673090         79258.8     1.62892e-14         110.818         67.5217    -1.71951e-06         -158651    -1.34596e+06          335628      0.00844128         2.84554
      0.00040005        -66384.3        -498.832    -7.38697e-14          97.104         48.2478    -2.45171e-07         900.962         -132575         32636.7       0.0978957         2.84957
       0.0005334        -1232.51        -7740.74    -8.44308e-14         85.7023         40.3233    -2.17604e-07         15400.7        -2293.68         645.047       0.0164969         3.03275
      0.00066675         6761.71        -8851.64     -8.7103e-14         77.1852         35.8567    -1.55737e-07         17631.5         13677.8        -3344.78       0.0350375         3.19985
       0.0008001         8845.12        -9392.06    -8.75754e-14         70.3473         32.8718     -1.3809e-07         18718.3         17830.8        -4640.79       0.0695372         3.32744
      0.00093345         10131.7        -9894.85     -8.7646e-14         64.6596         30.6612    -6.77655e-08         19728.4         20392.7        -5571.22       0.0296328         3.41747
       0.0010668         11264.6        -10393.7    -8.69818e-14         59.8674         28.9153    -1.20744e-08         20729.5         22648.9        -6427.02       0.0762714         3.47725
      0.00120015         12342.5        -10874.4     -8.5452e-14          55.828         27.4876      6.2818e-08         21693.8         24796.7        -7248.38       0.0234803         3.52957
       0.0013335         13344.3        -11313.5    -8.33153e-14         52.4691         26.3302     2.16306e-07         22574.2         26793.6        -8011.61       0.0366108         3.62631
      0.00146685         14313.6        -11715.6    -8.04058e-14         49.7026         25.4268     3.51269e-07         23380.2         28726.6        -8748.91       0.0449654         3.79352
       0.0016002         15133.9        -12050.8    -7.70162e-14         47.3435         24.7155     4.31365e-07         24052.1         30362.3        -9369.75      0.00795941         3.96833
      0.00173355         15784.6        -12363.3    -7.30662e-14         45.2545         24.1453     5.29052e-07         24678.2         31659.7        -9862.76      0.00528116         4.09949
